capture.id,animal.id,capture.season.2,bolus,herd,age.month,condition,pregnant,milk,calf.at.heel,tb.status,age.horn.residual,BHV.exposure,PI3.exposure,AD3.exposure,BRSV.Exposure,MH.exposure,MB.exposure
R43-0910,R43,dry,control,Crocodile Bridge,144,2,mid,no,no,0,65.0737,0,0,0,0,0,0
Y29-0910,Y29,dry,bolus,Crocodile Bridge,87,3,late,no,no,1,53.0596,0,1,0,0,0,0
Y28-0910,Y28,dry,bolus,Crocodile Bridge,65,3,mid,no,no,0,70.2226,0,0,0,0,0,1
Y42-0910,Y42,dry,control,Crocodile Bridge,96,2,no,no,no,1,67.64815,0,0,0,0,0,0
R2-0910,R2,dry,bolus,Crocodile Bridge,65,3.25,mid,no,no,1,51.3433,1,0,0,0,0,0
W2-0910,W2,dry,bolus,Crocodile Bridge,54,2.75,no,no,no,0,68.5063,0,0,0,0,0,0
Y46b-0910,Y46b,dry,control,Crocodile Bridge,72,3.5,mid,no,no,0,69.36445,1,1,1,0,0,0
Y6-0910,Y6,dry,bolus,Crocodile Bridge,66,2.5,no,no,no,0,56.4922,0,0,0,0,1,0
Y17-1010,Y17,wet,control,Crocodile Bridge,83,3.25,late,no,no,0,57.35035,1,0,0,0,0,0
R17-1010,R17,wet,bolus,Crocodile Bridge,90,2,late,no,no,1,65.93185,0,0,0,0,0,0
R38-1010,R38,wet,bolus,Crocodile Bridge,83,2,no,no,no,0,67.64815,0,0,0,0,0,1
R7b-1010,R7b,wet,control,Crocodile Bridge,46,2.75,no,no,no,0,42.7618,1,1,1,0,0,0
R3-1010,R3,wet,control,Crocodile Bridge,84,3,late,no,no,1,76.22965,1,1,1,0,0,0
R41-1010,R41,wet,control,Crocodile Bridge,52,3,mid/late,no,no,0,64.21555,0,0,0,0,1,0
R33-1110,R33,wet,control,Crocodile Bridge,66,2.25,no,no,no,0,62.49925,0,0,0,0,0,0
Y9-1110,Y9,wet,bolus,Crocodile Bridge,71,2,mid,no,no,0,71.08075,0,0,0,0,0,0
O21-1110,O21,wet,control,Lower Sabie,58,2.25,no,no,no,0,54.7759,0,0,0,0,0,0
B31-1110,B31,wet,control,Lower Sabie,46,2.5,no,no,no,0,61.6411,0,1,0,0,1,1
R24-1110,R24,wet,bolus,Crocodile Bridge,67,1,mid,no,no,0,70.2226,1,0,0,0,0,0
Y41b-1110,Y41b,wet,bolus,Crocodile Bridge,73,2.25,no,no,no,0,69.36445,0,0,0,0,0,0
Y45-1110,Y45,wet,control,Crocodile Bridge,67,2.5,mid,no,no,0,63.3574,0,0,1,0,0,0
B2b-1110,B2b,wet,control,Lower Sabie,61,2.5,late,no,no,0,64.21555,0,0,0,0,0,0
O22-1110,O22,wet,bolus,Lower Sabie,71,2,no,no,no,1,61.6411,0,0,0,0,0,0
O23b-1110,O23b,wet,control,Lower Sabie,45,2.5,no,no,no,0,47.9107,0,0,0,0,0,0
O46-1110,O46,wet,bolus,Lower Sabie,125,1.75,no,no,yes,1,60.78295,0,0,0,0,1,0
B42b-1110,B42b,wet,control,Lower Sabie,47,2.5,late,no,no,1,59.06665,0,0,0,0,0,0
B46-1110,B46,wet,bolus,Lower Sabie,89,3,late,no,no,0,60.78295,0,1,1,0,0,0
B57-1110,B57,wet,control,Lower Sabie,69,2.75,late,no,no,1,83.953,0,0,0,0,0,0
O17b-1110,O17b,wet,bolus,Lower Sabie,46,3,no,no,no,0,65.0737,0,0,1,0,0,0
O52-1110,O52,wet,bolus,Lower Sabie,149,1.5,no,no,no,1,69.36445,0,0,0,0,0,0
B1-1110,B1,wet,control,Lower Sabie,68,3.25,late,no,no,1,71.9389,0,0,1,0,0,1
O7-1110,O7,wet,bolus,Lower Sabie,69,2.75,late,no,no,1,78.8041,0,0,1,0,0,0
O41-1110,O41,wet,control,Lower Sabie,72,3,late,no,no,0,74.51335,0,0,0,0,0,0
B48b-1210,B48b,wet,bolus,Lower Sabie,72,2.25,no,yes,yes,0,61.6411,0,0,1,0,0,0
O30-1210,O30,wet,control,Lower Sabie,71,2.25,no,no,no,0,67.64815,0,1,0,0,0,1
O44-1210,O44,wet,bolus,Lower Sabie,75,2.25,late,no,no,0,69.36445,0,0,0,0,0,0
B30-0111,B30,wet,control,Lower Sabie,58,4,late,no,no,0,67.64815,0,0,0,0,0,0
O38-0111,O38,wet,bolus,Lower Sabie,59,3.5,late,no,no,0,62.49925,0,0,0,0,0,1
O47b-0111,O47b,wet,control,Lower Sabie,54,3.5,no,no,no,1,72.79705,0,0,0,0,0,1
B23-0111,B23,wet,bolus,Lower Sabie,151,2.5,no,no,no,0,71.9389,0,0,1,0,0,1
B41-0111,B41,wet,control,Lower Sabie,48,3.5,late,no,no,0,65.0737,0,0,0,0,0,0
O29b-0111,O29b,wet,control,Lower Sabie,51,2.25,no,no,no,0,65.93185,0,0,0,0,0,0
B34-0111,B34,wet,bolus,Lower Sabie,59,2.25,early/mid,no,no,1,69.36445,0,0,0,0,0,0
O31-0111,O31,wet,control,Lower Sabie,61,3,no,yes,yes,1,67.64815,0,1,1,0,1,0
O5-0111,O5,wet,control,Lower Sabie,58,2.75,late,no,no,0,69.36445,0,0,0,0,0,0
B36b-0111,B36b,wet,bolus,Lower Sabie,68,2.75,late,yes,yes,0,66.79,0,0,0,0,0,0
O20-0111,O20,wet,bolus,Lower Sabie,61,4,no,no,no,0,70.2226,0,0,0,0,0,1
O37-0111,O37,wet,bolus,Lower Sabie,61,2.5,late,no,no,1,66.79,0,0,0,1,1,1
O40-0111,O40,wet,control,Lower Sabie,92,2.5,no,yes,no,0,59.9248,0,0,0,0,0,0
B37-0111,B37,wet,control,Lower Sabie,70,3.25,no,no,no,1,71.9389,0,0,1,0,0,0
B44-0111,B44,wet,bolus,Lower Sabie,70,2.5,late,unknown,yes,0,68.5063,0,0,0,0,0,0
O11-0111,O11,wet,bolus,Lower Sabie,116,3.25,mid,yes,yes,1,84.81115,1,1,1,0,0,0
O49-0111,O49,wet,bolus,Lower Sabie,72,3.5,late,no,no,1,76.22965,0,0,0,0,0,0
B24-0211,B24,wet,bolus,Lower Sabie,103,3,late,no,no,0,78.8041,1,0,1,0,0,0
B27-0211,B27,wet,bolus,Lower Sabie,61,3.5,no,no,no,1,81.37855,0,0,0,0,0,0
O9-0211,O9,wet,control,Lower Sabie,61,2.5,mid,no,no,0,67.64815,0,0,1,0,0,1
B26-0211,B26,wet,control,Lower Sabie,59,3.25,no,no,no,1,73.6552,0,0,0,0,0,0
O35-0211,O35,wet,control,Lower Sabie,50,3.25,no,no,no,1,55.63405,0,0,1,0,1,0
B3-0211,B3,wet,bolus,Lower Sabie,83,3.5,late,no,no,0,64.21555,1,0,0,0,0,0
O12-0211,O12,wet,control,Lower Sabie,86,3,mid,yes,yes,0,69.36445,0,0,0,0,0,0
B35-0211,B35,wet,bolus,Lower Sabie,67,4,late,no,no,0,59.06665,0,0,0,0,0,0
O34-0211,O34,wet,bolus,Lower Sabie,104,2.75,no,yes,yes,0,71.08075,0,0,0,0,0,0
O4-0211,O4,wet,control,Lower Sabie,56,3.5,no,no,no,1,60.78295,0,0,0,0,0,0
O18-0211,O18,wet,bolus,Lower Sabie,73,3.5,late,no,no,0,68.5063,0,1,1,0,0,1
O24-0211,O24,wet,bolus,Lower Sabie,74,3,late,no,no,1,69.36445,0,1,1,0,1,0
O13-0211,O13,wet,control,Lower Sabie,116,2.75,late,yes,yes,0,71.9389,0,0,0,0,0,1
O48-0211,O48,wet,bolus,Lower Sabie,71,3.25,late,no,no,1,71.08075,0,0,0,0,0,0
B38-0211,B38,wet,bolus,Lower Sabie,188,2.25,no,yes,yes,1,64.21555,0,0,0,1,0,0
R7b-0211,R7b,wet,control,Crocodile Bridge,50,3.75,no,no,no,0,48.76885,0,0,0,0,0,0
B25-0211,B25,wet,control,Lower Sabie,53,3.5,late,no,no,0,64.21555,0,0,0,0,0,1
B29-0211,B29,wet,control,Lower Sabie,50,3.5,mid,no,no,0,70.2226,0,0,0,0,0,1
B4-0211,B4,wet,bolus,Lower Sabie,63,3.75,no,no,no,1,72.79705,0,0,0,0,0,0
B43-0211,B43,wet,control,Lower Sabie,128,3,late,no,no,0,67.64815,0,0,0,0,0,0
B53-0211,B53,wet,bolus,Lower Sabie,83,4,no,no,no,0,50.48515,0,1,1,0,0,1
O15-0211,O15,wet,bolus,Lower Sabie,95,3.5,no,yes,yes,1,66.79,0,0,0,0,0,0
O19-0211,O19,wet,bolus,Lower Sabie,93,3.25,late,no,no,1,86.52745,0,0,1,0,0,0
O45b-0211,O45b,wet,control,Lower Sabie,83,4,late,no,no,0,54.7759,0,0,0,1,0,0
R28-0311,R28,wet,control,Crocodile Bridge,75,3.75,late,no,no,0,59.9248,0,0,0,0,0,0
R50b-0311,R50b,wet,bolus,Crocodile Bridge,100,4,late,no,no,1,65.0737,0,0,0,0,0,0
Y26b-0311,Y26b,wet,control,Crocodile Bridge,76,3.25,no,yes,yes,0,83.953,0,0,0,0,0,1
Y17-0311,Y17,wet,control,Crocodile Bridge,88,3.75,late,no,no,0,57.35035,0,0,1,0,0,0
Y24b-0311,Y24b,wet,control,Crocodile Bridge,77,3.25,late,yes,no,0,69.36445,0,0,1,0,0,0
Y44b-0311,Y44b,wet,bolus,Crocodile Bridge,73,3.5,late,no,no,0,80.5204,0,0,1,1,0,0
B33-0311,B33,wet,control,Lower Sabie,84,3.5,no,no,no,0,70.2226,0,0,0,0,0,0
O6-0311,O6,wet,bolus,Lower Sabie,72,3.75,no,no,no,1,70.2226,0,0,0,0,0,0
Y36-0311,Y36,wet,control,Crocodile Bridge,87,2.25,no,no,yes,0,62.49925,0,0,0,0,0,1
Y37b-0311,Y37b,wet,bolus,Crocodile Bridge,77,3.25,no,no,no,0,57.35035,0,0,0,0,0,0
R12-0311,R12,wet,control,Crocodile Bridge,70,3.75,no,no,no,1,63.3574,0,0,0,0,0,0
R16-0311,R16,wet,bolus,Crocodile Bridge,72,3.75,no,yes,yes,0,66.79,0,0,0,0,0,1
R3-0311,R3,wet,control,Crocodile Bridge,89,3.25,no,no,no,1,73.6552,0,0,0,1,0,1
Y4-0311,Y4,wet,control,Crocodile Bridge,77,2.5,no,no,no,1,65.0737,0,0,0,0,0,0
Y45-0311,Y45,wet,control,Crocodile Bridge,71,3.25,late,no,no,0,65.0737,0,0,0,0,1,0
Y46b-0311,Y46b,wet,control,Crocodile Bridge,77,3,no,yes,yes,0,68.5063,0,0,0,0,0,0
R33-0311,R33,wet,control,Crocodile Bridge,71,2.75,late,no,no,0,65.0737,0,0,0,0,0,0
R2-0311,R2,wet,bolus,Crocodile Bridge,71,3,no,yes,yes,1,51.3433,0,0,1,0,0,1
Y9-0311,Y9,wet,bolus,Crocodile Bridge,76,3,late,no,no,0,70.2226,0,0,0,0,0,0
R14b-0311,R14b,wet,bolus,Crocodile Bridge,66,3.5,no,no,no,0,66.79,0,0,0,0,0,0
R23b-0311,R23b,wet,bolus,Crocodile Bridge,71,2.75,no,no,no,1,59.06665,0,0,0,0,0,0
