Co-autor,Sample Unit,long,lat,Original Spot,Acestrorhynchus lacustris,Ancistrus aguaboensis,Apareiodon affinis,Apareiodon ibitiensis,Apareiodon machrisi,Apareiodon vladii,Aspidoras eurycephalus,Aspidoras fuscoguttatus,Astyanax  altiparanae,Astyanax asuncionensis,Astyanax bimaculatus,Astyanax bockmani,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax lineatus,Astyanax paranae,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis ,Brycon orbignyanus,Bryconamericus turiuba,Bryconammericus stramineus,Cetopsorhamdia iheringi,Characidium fasciatum,Characidium gomesi,Characidium zebra,Characidium zebra,Cichla kelberi,Cichlasoma dimerus,Cichlasoma paranaense,Corydoras aeneus,Corydoras flaveolus,Creagrutus varii,Crenicichla britskii,Crenicichla niederleinii,Cyphocharax gilbert,Cyphocharax modestus,Eigenmannia trilineata,Eigenmannia virescens ,Gymnotus carapo,Gymnotus sylvius,Harttia punctata,Hasemania crenuchoides,Hasemania hanseni ,Hemigrammus marginatus,Heptapterus mustelinus,Hisonotus francirochai,Hisonotus insperatus,Hyphessobrycon coelestinus,Hyphessobrycon herbertaxelrodi ,Hyphessobrycon luetkenii,Hypostomus  plecostumus,Hypostomus  regani,Hypostomus ancistroides,Hypostomus boulengeri,Hypostomus nigromaculatus,Imparfinis borodini,Imparfinis longicauda,Imparfinis minutus,Imparfinis mirini,Imparfinis schubarti,Knodus chapadae,Knodus moenkhausii,Leporinus microphthalmus,Leporinus paranensis,Microglanis garavelloi,Moenkhausia sanctaefilomenae,Neoplecostomus paranensis,Oligosarcus pintoi,Paravandellia oxyptera,Parodon nasus,Phalloceros harpagos,Phenacorhamdia somnians,Phenacorhamdia tenebrosa,Piabina argentea,Pimelodella avanhandavae,Planaltina myersi,Poecilia reticulata,Prochilodus  lineatus,Pyrrhulina australis,Rineloricaria latirostris,Rivulus pictus,Serrapinnus heterodon,Serrapinnus notomelas,Steindachnerina insculpta,Sternopygus macrurus,Synbranchus marmoratus,Tatia neivar,Tilapia rendalli,Trichomycterus aff. brasiliensis,Trichomycterus candidus,MTurb,MCondut,MPh,MOD,MTempAgua,Mvel,Mprof,Mlar
Francisco Leonardo Tejerina Garro,ua8,-49.345556,-18.085833,P08,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.51333333,208,6.626666667,6,21.53333333,34.72727273,0.213636364,0.736363636
Francisco Leonardo Tejerina Garro,ua9,-49.357500,-18.046389,P09,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66666667,20.8,6.583333333,4.4,22.56666667,0.207142857,0.134545455,0.922727273
Francisco Leonardo Tejerina Garro,ua10,-48.958000,-17.928361,P10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.93333333,91.36666667,6.900635965,8,18.53333333,347,0.28,2.622727273
Francisco Leonardo Tejerina Garro,ua11,-48.941944,-17.866944,P11,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.96666667,25.9,6.900635965,6.6,19.56666667,3900,0.327272727,1.954545455
Francisco Leonardo Tejerina Garro,ua12,-49.348250,-17.806083,P12,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.456666667,60.23333333,6.900635965,7.7,19.03333333,495.6363636,0.227272727,4.127272727
Francisco Leonardo Tejerina Garro,ua13,-49.260333,-17.763778,P13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33333333,29.26666667,7.456666667,5.9,21.16666667,395.8727273,0.131818182,4.454545455
Francisco Leonardo Tejerina Garro,ua14,-48.893111,-17.736500,P14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.66666667,41.33333333,7.38,5,23.23333333,78.18181818,0.354545455,4.363636364
Francisco Leonardo Tejerina Garro,ua15,-48.911639,-17.705611,P15,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8.896666667,102.1,7.616666667,5.8,18.63333333,393,0.28,4.445454545
Francisco Leonardo Tejerina Garro,ua16,-49.216111,-17.678889,P16,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.913333333,106.9333333,7.606666667,7.3,20.86666667,611.1818182,0.398181818,7.118181818
Francisco Leonardo Tejerina Garro,ua17,-49.191389,-17.666250,P17,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.066666667,108.4666667,7.733333333,6.2,20.16666667,183.6363636,0.284545455,4.954545455
Francisco Leonardo Tejerina Garro,ua18,-49.139528,-17.655111,P18,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.833333333,114.2333333,7.61,6.2,18.66666667,162.2727273,0.336363636,5.309090909
Francisco Leonardo Tejerina Garro,ua19,-48.940278,-17.596667,P19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.393333333,44,7.326666667,6.2,21,283.5454545,0.430909091,6.072727273
Francisco Leonardo Tejerina Garro,ua20,-48.945278,-17.437778,P20,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,9.3,94.76666667,7.68,6.3,23.33333333,224.4545455,0.354545455,6.354545455
Francisco Leonardo Tejerina Garro,ua21,-48.963333,-17.430000,P21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.366666667,28.06666667,7.15,6.6,23.56666667,77.09090909,0.432727273,0.909090909
Francisco Leonardo Tejerina Garro,ua22,-48.796111,-17.353611,P22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.933333333,105.5666667,7.5,5.3,20.7,0.075909091,0.063636364,3.132200577
Francisco Leonardo Tejerina Garro,ua23,-48.085556,-17.345000,P23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33333333,27.26666667,6.673333333,5.8,23.63333333,0.189907925,0.115454545,1.3
Francisco Leonardo Tejerina Garro,ua24,-48.046111,-17.271111,P24,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,41,7.263333333,6.2,21.56666667,85.11111111,0.130909091,3.223214458
