length,gravid,zebra,month,weight
61.5,n,y,d,-0.072133764
83.5,n,n,d,1.566180158
63.5,n,n,d,1.425109641
61,n,y,d,0.068396259
78.5,n,n,d,1.385562455
63.5,n,n,d,-0.148890359
65.5,n,n,d,0.366893186
66,n,n,d,0.485604333
61,n,n,d,0.356396259
56.5,n,n,d,0.403850391
70,n,y,d,-0.671480176
57,n,y,d,-0.031675965
63.5,n,y,d,0.276109641
66.5,n,n,d,0.206678108
67,n,y,d,-0.443907244
63.5,n,y,d,-0.127890359
52.5,n,n,d,0.336748117
53,n,n,d,-0.302576449
66.5,n,y,d,0.986678108
60,n,n,d,1.14921707
54,n,y,d,0.014528392
53,n,n,d,-0.004576449
54.5,n,n,d,0.172914749
66.5,n,n,d,0.017678108
61.5,n,n,d,0.852866236
59,n,y,d,-0.165470077
50,y,y,d,0.597000883
63,n,n,d,-1.002462362
58.5,n,y,d,-0.984825033
48,n,n,d,0.578847263
59.5,n,n,d,-0.338448832
56.5,n,y,d,-0.274149609
51,n,y,d,-0.003512156
52.5,n,y,d,-0.086251883
59.5,n,y,d,-0.253448832
42.5,n,y,d,-0.051428568
43.5,n,y,d,-0.363736652
44.5,n,n,d,0.103283262
31.5,n,n,d,0.194171632
79.5,n,y,e,1.459456329
73.5,n,y,e,0.674590709
74,n,y,e,-2.228510872
69.5,n,n,e,-0.636482809
66,n,y,e,1.959604333
61.5,n,n,e,1.821866236
68,n,n,e,-0.215142378
62,n,n,e,-0.232105755
82.5,n,n,e,4.635978441
68.5,n,y,e,1.013164294
66.5,n,y,e,0.311678108
76,n,y,e,0.448000474
71.5,n,y,e,-0.591429264
73.5,n,n,e,0.690590709
81,n,n,e,4.964536992
61,n,n,e,1.283396259
66,n,n,e,0.302604333
78.5,n,n,e,1.654562455
65.5,n,n,e,0.293893186
64.5,n,y,e,0.926645743
61.5,n,n,e,0.916866236
69,n,y,e,-0.298275252
65.5,n,y,e,-0.745106814
60.5,n,y,e,0.229505984
56.5,n,y,e,0.279850391
62.5,n,y,e,-0.469541393
70.5,n,y,e,1.986710837
65.5,n,n,e,-0.689106814
57.5,n,n,e,0.608550412
54.5,n,n,e,0.044914749
59.5,n,y,e,0.104551168
60.5,n,n,e,0.827505984
59,n,n,e,0.487529923
65.5,n,y,e,0.042893186
60,n,n,e,-0.19078293
58.5,n,n,e,0.368174967
52,n,y,e,0.456019357
58.5,n,y,e,-0.156825033
59,n,n,e,0.179529923
