Falco_subbuteo,Anthus_trivialis,Phylloscopus_bonelli,Tetrao_tetrix,Parus_caeruleus,Dendrocopos_major,Garrulus_glandarius,Carduelis_spinus,Loxia_curvirostra,Phylloscopus_trochilus,Certhia_brachydactyla,Sylvia_borin,Phoenicurus_phoenicurus,Hippolais_icterina,Pyrrhula_pyrrhula,Emberiza_citrinella,Muscicapa_striata,Picus_canus,Picus_viridis,Accipiter_gentilis,Bonasa_bonasia,Parus_cristatus,Prunella_modularis,Columba_oenas,Coccothraustes_coccothraustes,Sylvia_curruca,Sitta_europaea,Dendrocopos_minor,Corvus_corax,Cuculus_canorus,Buteo_buteo,Turdus_viscivorus,Parus_montanus,Luscinia_megarhynchos,Lanius_collurio,Oriolus_oriolus,Corvus_corone,Turdus_torquatus,Columba_palumbus,Aegithalos_caudatus,Milvus_migrans,Dryocopus_martius,Regulus_ignicapillus,Accipiter_nisus,Parus_palustris,Nucifraga_caryocatactes,Ficedula_hypoleuca,Streptopelia_turtur,Turdus_pilaris,Certhia_familiaris,Strix_aluco,Phylloscopus_sibilatrix,Asio_otus,Pernis_apivorus,Regulus_regulus,Serinus_citrinella,avg,cov,cv,dns,fhd,p10,p25,p95,rt_p2595,std,uhd,asp,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,ddeg0,ddeg5,mbal,mind,pet_103,pet_49,pet_ave,pet_swrt,prc_103,prc_49,prc_swrt,rad,slp,tpi,twi,CLUMPY_canopy,CLUMPY_under_midstorey,TE_canopy,TE_under_midstorey,TE_matrix,TE_total,data_type,blockCV_tile
0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,17.65999985,52.79999924,0.599093999,52.79999924,1.979547262,2.389999866,7.699999809,32.95999908,0.233616506,10.57999992,2.283240318,193.7101898,9.47369957,18.01959991,0.930925012,1124,122,67,21.20842552,362,216,355,224,8.382149696,31.25004959,692.4359741,24.30307579,-2.518825054,26.82177544,16.37924957,2.25957489,39641.26953,23440.41211,-213,1.118747711,1.837944388,5.467753887,3.652849197,3.131593943,470.3467102,653.3099976,1.388842106,19937.90234,10.96814346,-0.722355843,6.348893166,0.7175,0.5321,12160,11600,7280,31040,train,4
0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,14.78999996,32.79999924,0.540906019,32.79999924,1.845613837,4.299999714,7.980000019,28.28999901,0.282078484,8,2.365020275,167.5729675,5.186224937,12.83437538,-2.167774916,1904,196,115,16.11282539,581,386,581,453,7.535649776,31.42107582,615.8103027,18.16334915,-5.816899776,23.98087502,12.83437538,5.9989748,16978.77344,11007.83398,282,0.841850042,2.701819897,6.16911602,4.43546772,2.359683275,859.3327026,1044.733154,1.216462374,24356.66797,12.99228859,-1.870733738,5.603611469,0.6916,0.4722,15480,17340,12380,45200,train,4
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.909999847,29.20000076,0.70594838,29.20000076,1.506291986,2.720000029,3.879999876,21.43000031,0.181054588,6.289999962,2.294579506,249.1744995,3.347300053,11.01982498,-3.68612504,1283,167,60,30.84700012,418,209,299,209,7.85379982,32.09627533,607.3991089,16.72394943,-7.740125179,24.46452522,5.464399815,-3.68612504,10408.74023,6347.332031,207,0.832555294,1.221955419,4.653663158,2.937809229,4.028434753,555.9179077,726.701355,1.306907892,16163.5332,24.67749596,-0.463959783,4.758254051,0.6379,0.5001,14480,24360,12520,51360,train,3
0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10.07999992,56.79999924,0.918650823,56.79999924,1.637506962,1.75,3.309999943,30.76999855,0.107572314,9.260000229,2.291291475,223.3417053,9.094724655,17.56599998,0.620500028,1256,145,70,25.72392464,422,228,422,233,8.269049644,31.09614944,686.8745728,23.68302536,-2.908025026,26.59137535,17.56599998,1.890349984,35289.03516,20254.48047,-234,1.121024847,2.260740757,5.88704443,4.073892593,2.606775522,497.6409912,758.822998,1.524808407,22250.74805,4.55398798,0.129712731,6.61278677,0.5357,0.5483,22180,22360,8540,53080,train,4
0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.339999676,12.60000038,0.862397848,12.60000038,1.364185214,1.469999909,2.649999857,20.95999908,0.126431296,6.329999924,2.276096344,122.0911865,9.68445015,18.27382469,1.026600003,1230,140,70,25.22125053,413,226,413,230,8.553250313,31.45867538,698.5556641,24.58047485,-2.612575054,27.19277573,18.27382469,2.379300117,40797.14844,25384.57617,-184,1.078098893,2.02736783,5.702418804,3.864893436,2.816888809,489.3693542,740.4456787,1.513048887,21091.39258,1.599904418,-0.409158736,8.855581284,0.44,0.4937,8680,13480,13240,35400,train,4
0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,13.23999977,63.79999924,0.628398779,63.79999924,1.80211854,4.710000038,6.460000038,29.89999962,0.216053516,8.319999695,2.242570162,141.2124023,7.229875088,15.40785027,-0.615625024,1834,221,65,36.36307526,610,233,550,235,8.120425224,31.42477417,650.5133667,21.21759987,-4.612824917,25.83037567,12.16714954,0.430474997,25078.76953,16006.5791,295,0.850138545,2.782484531,5.636166096,4.209325314,2.092380524,677.9638672,1155.703125,1.704387069,23048.65625,32.13170624,-1.562893033,4.438418865,0.5573,0.4917,19900,20780,3160,43840,train,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,17.20999908,33.40000153,0.531667641,33.40000153,1.916061401,3.379999876,9.43999958,30.59999847,0.308496734,9.149999619,2.368527651,249.0167389,4.189549923,11.68402481,-2.884799957,1874,212,123,20.16589928,611,395,611,430,8.076874733,33.26807404,601.2317505,17.32699966,-6.950150013,24.27707481,11.68402481,4.878924847,12386.80957,8850.007813,561,0.675358117,1.636176944,5.532015324,3.584096193,3.79178834,827.0889282,1046.424805,1.265191197,19705.58398,17.3559742,-4.281548977,5.316709518,0.8134,0.4785,7660,18180,16840,42680,train,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98999977,17.80000114,0.569641372,17.80000114,1.684332013,3.339999914,6.409999847,24.02999878,0.266749903,6.829999924,2.392520428,270.4047852,7.039774895,14.88937473,-0.312249988,1709,176,121,11.07454967,488,387,387,475,7.309525013,30.45682526,623.6757813,20.5713501,-3.426500082,23.99769974,0.788950026,14.48180008,24325.47266,15375.73926,302,0.8660236,1.991503477,5.697510242,3.844506979,2.887722969,923.7214355,785.3847656,0.850230217,21056.51367,6.079838753,-0.717464328,6.753939629,0.654,0.5488,9540,13880,10260,33680,train,1
0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39999962,25.70000076,0.640972207,25.70000076,1.883238316,3.549999952,6.119999886,30.11999893,0.203187254,9.229999542,2.367919207,74.94335938,9.037425041,17.3178997,0.518024981,1371,174,77,30.32869911,496,252,496,252,8.637999535,32.18569946,681.1390381,23.31787491,-3.51747489,26.83542442,17.3178997,0.518024981,34833.57813,21040.20313,122,0.854799628,1.596266627,5.222171783,3.409219027,3.351116657,535.8191528,834.7502441,1.561219096,18615.96289,17.27124405,0.357793599,4.989122391,0.5789,0.2744,13980,35940,29280,79200,train,5
0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,14.30999947,22.30000114,0.69741439,22.30000114,1.84666276,3.669999838,6.009999752,31.56999969,0.190370599,9.979999542,2.34504509,268.5191956,7.573150158,15.66845036,-0.497925013,1683,195,100,24.27029991,565,326,565,326,7.773224831,30.72024918,657.5634766,21.22477531,-4.078450203,25.30352592,15.66845036,-0.497925013,24289.70313,17696.46289,253,0.802318037,2.059514523,5.76002121,3.909767866,2.825055122,681.1514282,1001.993591,1.47112608,21395.46289,6.458376884,-1.080101252,6.539841175,0.6244,0.5295,11180,18900,15960,46040,train,5
